,0,1,2,3,4,5,6,7
0,1.5124509,1.4061846,0.0,0.0,0.0,1.1092702,0.0,0.0
1,1.1790534,1.1063509,0.0,0.0,0.0,0.8684545,0.0,0.0
2,1.3320485,1.2353414,0.0,0.0,0.0,0.97577226,0.0,0.0
3,1.2474157,1.1644691,0.0,0.0,0.0,0.9248112,0.0,0.0
4,1.3549501,1.2587181,0.0,0.0,0.0,0.99382806,0.0,0.0
5,1.4469683,1.3403816,0.0,0.0,0.0,1.0627295,0.0,0.0
6,1.4962102,1.3912741,0.0,0.0,0.0,1.1030053,0.0,0.0
7,1.1845198,1.1042484,0.0,0.0,0.0,0.8766138,0.0,0.0
8,1.4526484,1.3501729,0.0,0.0,0.0,1.0619622,0.0,0.0
9,1.4463446,1.3417622,0.0,0.0,0.0,1.0605625,0.0,0.0
10,1.3849412,1.278992,0.0,0.0,0.0,1.0154986,0.0,0.0
11,1.49794,1.3960453,0.0,0.0,0.0,1.1065067,0.0,0.0
12,0.09197617,0.06881884,0.0,0.637378,0.5053015,0.0,0.62790877,0.6390667
13,1.4526488,1.3488634,0.0,0.0,0.0,1.0724577,0.0,0.0
14,0.98445916,0.9214468,0.0,0.0,0.0,0.72588533,0.0,0.0
15,1.3651296,1.2694123,0.0,0.0,0.0,0.99966085,0.0,0.0
16,1.3580128,1.2638562,0.0,0.0,0.0,0.9883632,0.0,0.0
17,1.3286834,1.2313983,0.0,0.0,0.0,0.9693231,0.0,0.0
18,1.3700913,1.2586874,0.0,0.0,0.0,1.0053748,0.0,0.0
19,1.4333906,1.330159,0.0,0.0,0.0,1.0546108,0.0,0.0
20,1.440533,1.3356426,0.0,0.0,0.0,1.0583136,0.0,0.0
21,1.006925,0.9481717,0.0,0.0,0.0,0.736087,0.0,0.0
22,1.1902457,1.1115364,0.0,0.0,0.0,0.88221896,0.0,0.0
23,0.8997353,0.85354376,0.0,0.0330744,0.0,0.6740317,0.035421632,0.06627491
24,1.0336052,0.9672169,0.0,0.0,0.0,0.76242673,0.0,0.0
25,1.3374531,1.2427856,0.0,0.0,0.0,0.98333025,0.0,0.0
26,1.3212451,1.2217184,0.0,0.0,0.0,0.9654831,0.0,0.0
27,1.2548226,1.1699255,0.0,0.0,0.0,0.93198293,0.0,0.0
28,1.0928664,1.0134101,0.0,0.0,0.0,0.79519707,0.0,0.0
29,0.22002523,0.19464888,0.0,0.47399345,0.31478333,0.093883306,0.48215815,0.48679674
30,1.4550275,1.3522131,0.0,0.0,0.0,1.072325,0.0,0.0
